48652026,Ashland
48651494,Kearney
48651978,Gretna
48651979,Wayne
48651980,Holdrege
48651981,Ogallala
48651982,Wahoo
48651983,Aurora
48651971,Ralston
48651972,Crete
48651973,Seward
48651504,Beatrice
48651505,Lexington
48651506,Alliance
48651507,Gering
48651967,Blair
48651968,York
48651969,McCook
48651970,Nebraska City
23370753,Omaha
48652024,David City
48652025,Valentine
48651974,Sidney
48651975,Plattsmouth
48651976,Schuyler
48651977,Chadron
48651495,Fremont
48651496,Hastings
48651497,North Platte
48651498,Norfolk
48651499,Columbus
48651500,Papillion
48651984,Falls City
48651985,Cozad
48651986,Fairbury
48651987,O'Neill
48651988,Waverly
48651989,Gothenburg
48651990,Broken Bow
48651991,Auburn
48651992,West Point
48651993,Minden
48651994,Central City
48651501,La Vista
48651502,Scottsbluff
48651503,South Sioux City
48652027,Kimball
48652028,Madison
48652029,St. Paul
48652030,Milford
48652031,Geneva
48652032,Imperial
48652033,Ord
48652034,Valley
23375374,Lincoln
23391879,Bellevue
23647432,Grand Island
