"","CityID","CityName","Population2013","Population2010","%Change"
"1",23375374,"Lincoln",268738,258379,4.00922675604441
"2",23391879,"Bellevue",53663,50137,7.03273031892614
"3",23647432,"Grand Island",50550,48520,4.1838417147568
"4",48651494,"Kearney",32174,30787,4.50514827687011
"5",48651495,"Fremont",26340,26397,-0.215933628821457
"6",48651496,"Hastings",25093,24907,0.746778014212872
"7",48651497,"North Platte",24534,24733,-0.804593053814741
"8",48651498,"Norfolk",24523,24210,1.29285419248245
"9",48651499,"Columbus",22533,22111,1.90855230428294
"10",48651500,"Papillion",21921,18894,16.0209590346142
"11",48651501,"La Vista",17562,15758,11.4481533189491
"12",48651502,"Scottsbluff",15023,15039,-0.106390052530088
"13",48651503,"South Sioux City",13424,13353,0.531715719314012
"14",48651504,"Beatrice",12157,12459,-2.42395055782968
"15",48651505,"Lexington",10204,10230,-0.254154447702835
"16",48651506,"Alliance",8498,8491,0.0824402308326463
"17",48651507,"Gering",8480,8500,-0.235294117647059
"18",48651967,"Blair",7990,7990,0
"19",48651968,"York",7961,7766,2.51094514550605
"20",48651969,"McCook",7697,7698,-0.012990387113536
"21",48651970,"Nebraska City",7255,7289,-0.466456304019756
"22",48651971,"Ralston",7220,5943,21.487464243648
"23",48651972,"Crete",7135,6960,2.51436781609195
"24",48651973,"Seward",7120,6964,2.2400919012062
"25",48651974,"Sidney",6829,6757,1.06556163978097
"26",48651975,"Plattsmouth",6467,6502,-0.538295908951092
"27",48651976,"Schuyler",6143,6211,-1.09483175012075
"28",48651977,"Chadron",5787,5851,-1.09383011451034
"29",48651978,"Gretna",5584,4441,25.7374465210538
"30",48651979,"Wayne",5543,5660,-2.06713780918728
"31",48651980,"Holdrege",5527,5495,0.582347588717016
"32",48651981,"Ogallala",4606,4737,-2.76546337344311
"33",48651982,"Wahoo",4512,4508,0.0887311446317657
"34",48651983,"Aurora",4465,4479,-0.312569770037955
"35",48651984,"Falls City",4216,4325,-2.52023121387283
"36",48651985,"Cozad",3934,3977,-1.08121699773699
"37",48651986,"Fairbury",3927,3942,-0.380517503805175
"38",48651987,"O'Neill",3700,3705,-0.134952766531714
"39",48651988,"Waverly",3634,3277,10.8941104668904
"40",48651989,"Gothenburg",3558,3574,-0.447677672076105
"41",48651990,"Broken Bow",3491,3559,-1.91064905872436
"42",48651991,"Auburn",3385,3460,-2.16763005780347
"43",48651992,"West Point",3310,3364,-1.60523186682521
"44",48651993,"Minden",2986,2923,2.15531987683886
"45",48651994,"Central City",2921,2934,-0.443081117927744
"46",48652024,"David City",2900,2906,-0.206469373709566
"47",48652025,"Valentine",2789,2737,1.89989039093898
"48",48652027,"Kimball",2425,2496,-2.84455128205128
"49",48652028,"Madison",2398,2438,-1.64068908941756
"50",48652029,"St. Paul",2322,2290,1.39737991266376
"51",48652030,"Milford",2191,2090,4.83253588516746
"52",48652031,"Geneva",2152,2217,-2.9318899413622
"53",48652032,"Imperial",2091,2071,0.965717044905843
"54",48652033,"Ord",2078,2112,-1.60984848484848
"55",48652034,"Valley",2003,1875,6.82666666666667
